Sentence,Sentiment,Category,sentiment_label,category_label
Car charger as well as AC charger are included to make sure you never run out of juice.Highy recommended,Positive,Positive Sentiment,1,1
"It holds a charge for a long time, is reasonably comfortable under long-wearing conditions and the quality of sound is tremendous.",Positive,Positive Sentiment,1,1
Pretty piece of junk.,Negative,Negative Sentiment,0,2
I recommend iGo to anyone with different brand cell phones/mp3 players in the family.,Positive,Positive Sentiment,1,1
"jabra ear gels ""R"" the best!.",Positive,Positive Sentiment,1,1
"useless phone, simply deaf.",Negative,Negative Sentiment,0,2
They do not care about the consumer one bit.,Negative,Negative Sentiment,0,2
The file browser offers all the options that one needs.Handsfree is great.,Positive,Positive Sentiment,1,1
Everything worked on the first try.The device was certainly engineered in a clever way and the construction feels good.,Positive,Positive Sentiment,1,1
Returned 8 hours later.,Negative,Purchase or Value Concerns,0,3
"I posted more detailed comments under the grey or black phone, but i have the Fire Red and it's a great color!",Positive,Positive Sentiment,1,1
Very unreliable service from T-mobile !,Negative,Negative Sentiment,0,2
Very satisifed with that.,Positive,Positive Sentiment,1,1
I bought this to use with my Kindle Fire and absolutely loved it!,Positive,Positive Sentiment,1,1
Logitech Bluetooth Headset is a 10!.,Positive,Positive Sentiment,1,1
"If you like a loud buzzing to override all your conversations, then this phone is for you!",Negative,Negative Sentiment,0,2
"i'm glad i found this product on amazon it is hard to find, it wasn't high priced.",Positive,Positive Sentiment,1,1
This is by far the worst purchase I've made on Amazon.,Negative,Purchase or Value Concerns,0,3
The headset fulfills my requirements so I am happy with my purchase.,Positive,Positive Sentiment,1,1
It's very convenient and simple to use - gets job done & makes the car ride so much smoother.,Positive,Positive Sentiment,1,1
"It plays louder than any other speaker of this size; the price is so low that most would think the quality is lacking, however, it's not.",Positive,Positive Sentiment,1,1
I would have given no star if I was able.,Negative,Negative Sentiment,0,2
Its well-designed and very sharp -- the blue is a very nice color.,Positive,Positive Sentiment,1,1
"The loudspeaker option is great, the bumpers with the lights is very ... appealing.",Negative,Negative Sentiment,0,2
its a little geeky but i think thats its sex on toast and it rocks and oozes sex right down to its battery embedded sleek stylish leather case.,Positive,Positive Sentiment,1,1
"After my phone got to be about a year old, it's been slowly breaking despite much care on my part.",Negative,Negative Sentiment,0,2
Freezes frequently4.,Negative,Negative Sentiment,0,2
Great Hands Free Device.,Positive,Positive Sentiment,1,1
My 5-year old Nokia 2160 from Tracfone holds the charge a lot better than this.,Negative,Technical Issues,0,0
"The biggest complaint I have is, the battery drains superfast.",Negative,Technical Issues,0,0
The update procedure is difficult and cumbersome.,Negative,Negative Sentiment,0,2
I love the ringtones because they are so upbeat!,Positive,Positive Sentiment,1,1
It was that loud.Glad to say that the Plantronics 510 maintains a flawless connection to my cell and with no static during normal use.,Positive,Positive Sentiment,1,1
Better Than New.,Positive,Positive Sentiment,1,1
Works like a charm; it work the same as the one I got with the phone.,Positive,Positive Sentiment,1,1
Excellent wallet type phone case.,Positive,Positive Sentiment,1,1
Perfect for the PS3.,Positive,Positive Sentiment,1,1
"It quit working after I'd used it for about 18 months, so I just purchased another one because this is the best headset I've ever owned.",Positive,Positive Sentiment,1,1
"The screen size is big, key pad lit well enough, and the camera quality is excellent for a camera phone.",Positive,Positive Sentiment,1,1
Made very sturdy.,Positive,Positive Sentiment,1,1
"Not only did the software do a great job of this, I could also make my own ringtones form my existing CDs without an internet connection.",Positive,Positive Sentiment,1,1
Their Research and Development division obviously knows what they're doing.,Positive,Positive Sentiment,1,1
"Just really good.. So far, probably the best BT headset I have ever had.",Positive,Positive Sentiment,1,1
They keep getting better and better (this is my third one and I've had numerous Palms too).,Positive,Positive Sentiment,1,1
fast service.,Positive,Positive Sentiment,1,1
"Finally, after three or four times the spring of the latch broke and I could not use it any longer on the visor.",Negative,Negative Sentiment,0,2
I've had this bluetoooth headset for some time now and still not comfortable with the way it fits on the ear.,Negative,Negative Sentiment,0,2
It clicks into place in a way that makes you wonder how long that mechanism would last.,Negative,Negative Sentiment,0,2
So Far So Good!.,Positive,Positive Sentiment,1,1
You have to hold the phone at a particular angle for the other party to hear you clearly.,Negative,Negative Sentiment,0,2
I ordered this for sony Ericsson W810i but I think it only worked once (thats when I first used it).,Negative,Negative Sentiment,0,2
This frog phone charm is adorable and very eye catching.,Positive,Positive Sentiment,1,1
Just what I wanted.,Positive,Positive Sentiment,1,1
The instructions didn't explain that a microphone jack could be used.,Negative,Negative Sentiment,0,2
The voice recognition thru the handset is excellent.,Positive,Positive Sentiment,1,1
There's a horrible tick sound in the background on all my calls that I have never experienced before.,Negative,Technical Issues,0,0
I love this device.,Positive,Positive Sentiment,1,1
A Disappointment.,Negative,Negative Sentiment,0,2
I purcashed this for the car charger and it does not work.,Negative,Technical Issues,0,0
WORTHWHILE.,Positive,Positive Sentiment,1,1
"The handsfree part works fine, but then the car tries to download the address book, and the Treo reboots.Overall, I still rate this device high.",Positive,Positive Sentiment,1,1
Great product and price.,Positive,Positive Sentiment,1,1
I find this inexcusable and so will probably be returning this phone and perhaps changing carriers.,Negative,Purchase or Value Concerns,0,3
Customer service was terrible.,Negative,Negative Sentiment,0,2
Very disappointing.,Negative,Negative Sentiment,0,2
Worth every penny.,Positive,Positive Sentiment,1,1
This is a great phone!.,Positive,Positive Sentiment,1,1
"Horrible, horrible protector.",Negative,Negative Sentiment,0,2
"Plus, I seriously do not believe it is worth its steep price point.",Negative,Purchase or Value Concerns,0,3
The design is very good.4.,Positive,Positive Sentiment,1,1
No real improvement.,Negative,Negative Sentiment,0,2
Love it.. Great armband.,Positive,Positive Sentiment,1,1
It definitely was not as good as my S11.,Positive,Positive Sentiment,1,1
The accompanied software is almost brilliant.,Positive,Positive Sentiment,1,1
I wasted my little money with this earpiece.,Negative,Purchase or Value Concerns,0,3
"It's fits like a glove and is strong, secure, and durable.",Positive,Positive Sentiment,1,1
It dit not work most of the time with my Nokia 5320.,Negative,Technical Issues,0,0
Sprint charges for this service.,Negative,Technical Issues,0,0
"I'll be drivng along, and my headset starts ringing for no reason.",Negative,Negative Sentiment,0,2
"I have a Verizon LG phone and they work well together, good reception and range that exceeds 20 feet line of sight.",Positive,Positive Sentiment,1,1
"It is well made, easy to access the phone and has a handy, detachable belt clip.",Positive,Positive Sentiment,1,1
"I might have gotten a defect, but I would not risk buying it again because of the built quality alone.",Negative,Purchase or Value Concerns,0,3
the worst phone from samsung...crap..... this crappy Samsung E715.. is the worst i have ever seeen.,Negative,Negative Sentiment,0,2
Unfortunately it did not work.,Negative,Technical Issues,0,0
Better than expected.,Positive,Positive Sentiment,1,1
"Works great, when my cat attacked the phone he scratched the protective strip instead of destroying the screen.",Positive,Positive Sentiment,1,1
Works fine.,Positive,Positive Sentiment,1,1
T-Mobile has the best customer service anywhere.,Positive,Positive Sentiment,1,1
cool phone.,Positive,Positive Sentiment,1,1
This phone works great.,Positive,Positive Sentiment,1,1
$50 Down the drain.,Negative,Negative Sentiment,0,2
"That's a huge design flaw (unless I'm not using it correctly, which I don't think is the case).",Negative,Negative Sentiment,0,2
i got this phone around the end of may and i'm completely unhappy with it.,Negative,Negative Sentiment,0,2
I had to go to a store and bought a new NOKIA phone which is working great.,Positive,Positive Sentiment,1,1
"The microphone also works well, but (according to people I have called) it applifies everything.",Positive,Positive Sentiment,1,1
Excellent!.,Positive,Positive Sentiment,1,1
I'm pleased.,Positive,Positive Sentiment,1,1
"Good product, good seller.",Positive,Positive Sentiment,1,1
I had absolutely no problem with this headset linking to my 8530 Blackberry Curve!,Positive,Positive Sentiment,1,1
This product is great... it makes working a lot easier I can go to the copier while waiting on hold for something.,Positive,Positive Sentiment,1,1
Plug was the wrong size.,Negative,Technical Issues,0,0
"you can even take self portraits with the outside (exterior) display, very cool.",Positive,Positive Sentiment,1,1
Krussel Always good.,Positive,Positive Sentiment,1,1
This particular model would not work with my Motorola Q smartphone.,Negative,Technical Issues,0,0
Timely shipment and quality product.,Positive,Positive Sentiment,1,1
You also cannot take pictures with it in the case because the lense is covered.,Negative,Negative Sentiment,0,2
"Perhaps my phone is defective, but people cannot hear me when I use this.",Negative,Negative Sentiment,0,2
poor voice clarity.,Negative,Negative Sentiment,0,2
"very good product, well made.",Positive,Positive Sentiment,1,1
I had Verizon 2 years ago and really liked their service.,Positive,Positive Sentiment,1,1
best bluetooth on the market.,Positive,Positive Sentiment,1,1
This is a great product..... sure beats using your fingers!.,Positive,Positive Sentiment,1,1
im surprised this is a good quality car charger and there's not much reviews about it.,Positive,Positive Sentiment,1,1
"I searched the Internet, and found this one to be the best value.",Positive,Positive Sentiment,1,1
Also makes it easier to hold on to.,Positive,Positive Sentiment,1,1
So I basically threw my money out the window for nothing.,Negative,Purchase or Value Concerns,0,3
Appears to actually outperform the original battery from China that came with my V325i.,Positive,Positive Sentiment,1,1
"Great it was new packaged nice works good, no problems and it came in less time then I expected!!!!",Positive,Positive Sentiment,1,1
Poor Reliability.,Negative,Negative Sentiment,0,2
Great Product.,Positive,Positive Sentiment,1,1
It doesn't work in Europe or Asia.,Negative,Technical Issues,0,0
Case was more or less an extra that I originally put on but later discarded because it scratched my ear.,Negative,Negative Sentiment,0,2
"The ""1.2"" mega pixel camera, being a part of a phone, is reasonably good7.",Positive,Positive Sentiment,1,1
You never know if you pushed it hard enough or the right number of times for the function you want or not.,Negative,Negative Sentiment,0,2
"For a product that costs as much as this one does, I expect it to work far better and with greater ease than this thing does.",Negative,Purchase or Value Concerns,0,3
NOT WHAT I WANTED.,Negative,Negative Sentiment,0,2
I found the product to be easy to set up and use.,Positive,Positive Sentiment,1,1
It's been my choice headset for years.Great sound; good volume; good noise cancellation.,Positive,Positive Sentiment,1,1
This phone is pretty sturdy and I've never had any large problems with it.,Positive,Positive Sentiment,1,1
This is hands down the best phone I've ever had.,Positive,Positive Sentiment,1,1
"very clear, quality sound and you don't have to mess with the sound on your iPod since you have the sound buttons on the headset.",Positive,Positive Sentiment,1,1
Iam very pleased with my purchase.,Positive,Positive Sentiment,1,1
Excellent sound quality.,Positive,Positive Sentiment,1,1
"While I managed to bend the leaf spring back in place, the metal now has enough stress that it will break on the next drop.",Negative,Negative Sentiment,0,2
The phone loads super!,Positive,Positive Sentiment,1,1
Authentic leather with nice shine and comfort .I recommend you this case !!,Positive,Positive Sentiment,1,1
Happy so far!.,Positive,Positive Sentiment,1,1
Price is good too.,Positive,Positive Sentiment,1,1
Don't make the same mistake that I did and please don't buy this phone.,Negative,Purchase or Value Concerns,0,3
i would advise to not purchase this item it never worked very well.,Negative,Purchase or Value Concerns,0,3
I like design and look of Jabra behing the ear headsets and 5020 is pretty comfortible to wear 24 hours a day without pain in the ear.,Positive,Positive Sentiment,1,1
I purchased this and within 2 days it was no longer working!!!!!!!!!,Negative,Purchase or Value Concerns,0,3
I'm returning them.,Negative,Purchase or Value Concerns,0,3
"I have purchased these for both family and friends, and all enjoy their clarity and ease of use",Positive,Positive Sentiment,1,1
I was very impressed with the price of the cases.,Positive,Positive Sentiment,1,1
Thanks again to Amazon for having the things I need for a good price!,Positive,Positive Sentiment,1,1
"I have used several phone in two years, but this one is the best.",Positive,Positive Sentiment,1,1
So far it has worked like a charm.,Positive,Positive Sentiment,1,1
Bad Quality.,Negative,Negative Sentiment,0,2
"But, in any case, the best part is, you can download these pictures to your laptop using IR, or even send pictures from your laptop to the phone.",Positive,Positive Sentiment,1,1
Works as described.,Positive,Positive Sentiment,1,1
Also the area where my unit broke).- I'm not too fond of the magnetic strap.,Negative,Negative Sentiment,0,2
the only VERY DISAPPOINTING thing was there was NO SPEAKERPHONE!!!!,Negative,Negative Sentiment,0,2
Save your money.... I've had this item for 11 months now.,Negative,Purchase or Value Concerns,0,3
BT50 battery junk!.,Negative,Technical Issues,0,0
in addition it feels &amp; looks as if the phone is all lightweight cheap plastic.,Negative,Negative Sentiment,0,2
"I was sitting in my vehicle, with the cradle on my belt, and the headset lost signal.",Negative,Negative Sentiment,0,2
I've owned this phone for 7 months now and can say that it's the best mobile phone I've had.,Positive,Positive Sentiment,1,1
Awkward to use and unreliable.,Negative,Negative Sentiment,0,2
It has kept up very well.,Positive,Positive Sentiment,1,1
These products cover up the important light sensor above the ear outlet.,Negative,Negative Sentiment,0,2
Great bluetooth!.,Positive,Positive Sentiment,1,1
Poor Talk Time Performance.,Negative,Negative Sentiment,0,2
For the price this was a great deal.,Positive,Positive Sentiment,1,1
"Saggy, floppy piece of junk.",Negative,Negative Sentiment,0,2
This is the first phone I've had that has been so cheaply made.,Negative,Negative Sentiment,0,2
Same problem as others have mentioned.,Negative,Technical Issues,0,0
In my house I was getting dropped coverage upstairs and no coverage in my basement.,Negative,Negative Sentiment,0,2
I used to talk on it for 1 - 1 1/2 hours and the battery would be literally drained and dying.,Negative,Technical Issues,0,0
Bad Purchase.,Negative,Purchase or Value Concerns,0,3
A pretty good product.,Positive,Positive Sentiment,1,1
It's a great item.,Positive,Positive Sentiment,1,1
Don't buy this product - It fails!.,Negative,Technical Issues,0,0
(It works!),Positive,Positive Sentiment,1,1
This is so embarassing and also my ears hurt if I try to push the ear plug into my ear.,Negative,Technical Issues,0,0
Due to this happening on every call I was forced to stop using this headset.,Negative,Negative Sentiment,0,2
I usually don't like headbands but this one is very lightweight & doesn't mess up my hair.,Positive,Positive Sentiment,1,1
"Best of all is the rotating feature, very helpful.",Positive,Positive Sentiment,1,1
Now I know that I made a wise decision.,Positive,Positive Sentiment,1,1
"The range is very decent, I've been able to roam around my house with the phone in the living room with no reception/sound quality issues.",Positive,Positive Sentiment,1,1
This case seems well made.,Positive,Positive Sentiment,1,1
It feels more comfortable than most headsets because I wear glasses and that gets in the way sometimes.,Positive,Positive Sentiment,1,1
I can't use this case because the smell is disgusting.,Negative,Negative Sentiment,0,2
Gets the job done.,Positive,Positive Sentiment,1,1
This is a great little item.,Positive,Positive Sentiment,1,1
Chinese Forgeries Abound!.,Negative,Negative Sentiment,0,2
You'll love how thin it is.,Positive,Positive Sentiment,1,1
The volume switch rocketed out of the unit to a destination unknown.,Negative,Technical Issues,0,0
Doesn't do the job.,Negative,Technical Issues,0,0
Waste of money.,Negative,Purchase or Value Concerns,0,3
Worked perfectly!,Positive,Positive Sentiment,1,1
!I definitly recommend!!,Positive,Positive Sentiment,1,1
"The calls drop, the phone comes on and off at will, the screen goes black and the worst of all it stops ringing intermittently.",Negative,Negative Sentiment,0,2
Excellent bluetooth headset.,Positive,Positive Sentiment,1,1
Disappointing accessory from a good manufacturer.,Negative,Negative Sentiment,0,2
"I love the camera, it's really pretty good quality.",Positive,Positive Sentiment,1,1
none of the new ones have ever quite worked properly.,Negative,Negative Sentiment,0,2
Do not make the same mistake as me.,Negative,Negative Sentiment,0,2
Stay Away From the Q!.,Negative,Negative Sentiment,0,2
The iGo chargers and tips are really great.,Positive,Positive Sentiment,1,1
"Performed awful -- muffled, tinny incoming sound and severe echo for those on the other end of the call.",Negative,Technical Issues,0,0
This company charge me a restocking fee and still not given me my refund back.,Negative,Technical Issues,0,0
Not as good as I had hoped.,Negative,Negative Sentiment,0,2
VERY comfortable.,Positive,Positive Sentiment,1,1
Buyer--Be Very Careful!!!!!.,Negative,Purchase or Value Concerns,0,3
Don't waste your $$$ on this one.,Negative,Purchase or Value Concerns,0,3
Piece of Junk.,Negative,Negative Sentiment,0,2
"Steer clear of this product and go with the genuine Palm replacementr pens, which come in a three-pack.",Negative,Negative Sentiment,0,2
Buttons are too small.,Negative,Negative Sentiment,0,2
Used and dirty.,Negative,Negative Sentiment,0,2
Kind of flops around.,Negative,Negative Sentiment,0,2
This is a great deal.,Positive,Positive Sentiment,1,1
"Nice case, feels good in your hands.",Positive,Positive Sentiment,1,1
But it does get better reception and clarity than any phone I've had before.,Positive,Positive Sentiment,1,1
DO NOT BUY DO NOT BUYIT SUCKS,Negative,Purchase or Value Concerns,0,3
The battery runs down quickly.,Negative,Technical Issues,0,0
I'll be looking for a new earpiece.,Negative,Negative Sentiment,0,2
Battery is terrible.,Negative,Technical Issues,0,0
"I put the latest OS on it (v1.15g), and it now likes to slow to a crawl and lock up every once in a while.",Negative,Negative Sentiment,0,2
Linksys should have some way to exchange a bad phone for a refurb unit or something!,Negative,Negative Sentiment,0,2
"This is a good battery, and it got here really fast.",Positive,Positive Sentiment,1,1
It didn't charge for me.,Negative,Technical Issues,0,0
Battery is holding up well.,Positive,Positive Sentiment,1,1
Better than you'd expect.,Positive,Positive Sentiment,1,1
Would recommend this item.,Positive,Positive Sentiment,1,1
SWEETEST PHONE!!!,Positive,Positive Sentiment,1,1
Echo Problem....Very unsatisfactory,Negative,Technical Issues,0,0
The only thing that I think could improve is the sound leaks out from the headset.,Negative,Technical Issues,0,0
"This case has passed the one year mark and while it shows signs of wear, it is 100% functional.",Positive,Positive Sentiment,1,1
Rip off---- Over charge shipping.,Negative,Technical Issues,0,0
"There was so much hype over this phone that I assumed it was the best, my mistake.",Negative,Negative Sentiment,0,2
Excellent hands free tool.,Positive,Positive Sentiment,1,1
I bought these hoping I could make my Bluetooth headset fit better but these things made it impossible to wear.,Negative,Negative Sentiment,0,2
Who in their right mind is gonna buy this battery?.,Negative,Technical Issues,0,0
"I really wanted the Plantronics 510 to be the right one, but it has too many issues for me.The good",Negative,Technical Issues,0,0
Never got it!!!!!,Negative,Negative Sentiment,0,2
The only good thing was that it fits comfortably on small ears.,Positive,Positive Sentiment,1,1
Yet Plantronincs continues to use the same flawed charger design.,Negative,Technical Issues,0,0
"It works fine on my Motorola 325 cellphone, and a lot better than the worn-out battery did.",Positive,Positive Sentiment,1,1
"Even in my BMW 3 series which is fairly quiet, I have trouble hearing what the other person is saying.",Negative,Negative Sentiment,0,2
AFter the first charge kept going dead after 12 minutes.,Negative,Technical Issues,0,0
Bad Choice.,Negative,Negative Sentiment,0,2
Nice headset priced right.,Positive,Positive Sentiment,1,1
Motorola finally got the voice quality of a bluetooth headset right.,Positive,Positive Sentiment,1,1
Poor quality.,Negative,Negative Sentiment,0,2
"As many people complained, I found this headset's microphone was very weak.",Negative,Negative Sentiment,0,2
This does not fit the Palm Tungsten E2 and it broke the first time I tried to plug it in.,Negative,Technical Issues,0,0
Not good when wearing a hat or sunglasses.,Negative,Negative Sentiment,0,2
"This is a simple little phone to use, but the breakage is unacceptible.",Negative,Negative Sentiment,0,2
Battery life still not long enough in Motorola Razor V3i.,Negative,Technical Issues,0,0
"The real killer is the volume, and of course it breaking.",Negative,Technical Issues,0,0
Oh and I forgot to also mention the weird color effect it has on your phone.,Negative,Negative Sentiment,0,2
"If you like a loud buzzing to override all your conversations, then this phone is for you!",Negative,Negative Sentiment,0,2
"Also, the phone doesn't seem to accept anything except CBR mp3s, preferably ripped by Windows Media Player.",Negative,Technical Issues,0,0
Buy a different phone - but not this.,Negative,Purchase or Value Concerns,0,3
The sound quality is excellent as well.,Positive,Positive Sentiment,1,1
I would not recommend this item to anyone.,Negative,Negative Sentiment,0,2
The nokia CA-42 USB cable did not work with my phone.,Negative,Technical Issues,0,0
I don't like this Nokia either.,Negative,Negative Sentiment,0,2
Lousy product.,Negative,Negative Sentiment,0,2
"I have 2-3 bars on my cell phone when I am home, but you cant not hear anything.",Negative,Negative Sentiment,0,2
lightweight and works well.,Positive,Positive Sentiment,1,1
1. long lasting battery (you don't have to recharge it as frequentyly as some of the flip phones)2.,Negative,Technical Issues,0,0
Good price.,Positive,Positive Sentiment,1,1
